"id"	"gender"	"gname"	"fname"	"postcode"	"age"	"occup"
"772"	"m"	"sam"	"rothe"	2615	NA	3
"773"	"m"	"kaleb"	"weetrla"	2615	"d"	3
"774"	"f"	"jade"	"webd"	2913	"g"	NA
"775"	"m"	"angus"	"fleiscjmann"	2611	"g"	NA
"776"	"f"	"teagan"	"ryam"	2607	"s"	2
"777"	"m"	"liarn"	"maktman"	2602	"f"	2
"778"	"m"	"hunter"	"hanks"	2611	NA	NA
"779"	"f"	"jade"	"peteesen"	2904	"f"	NA
"780"	"m"	"joek"	"green"	2600	"h"	7
"781"	"f"	"tea1"	"heatn"	2605	"s"	8
"782"	"m"	"aiden"	"fran"	2615	NA	6
"783"	"m"	"keadon"	"cochrane"	2605	"f"	3
"784"	"m"	"cooper"	"clarkr"	2614	"d"	NA
"785"	"f"	"mi"	"clarke"	2607	"s"	NA
"786"	"f"	"hokly"	"gao"	2617	NA	2
"787"	"m"	"liam"	"braciak"	2607	"h"	0
"788"	"m"	"daniel"	"porgmeyer"	2602	"f"	2
"789"	"m"	"natan"	"jeffries"	2602	"d"	4
"790"	"m"	"ruben"	"coo"	2903	"f"	NA
"791"	"m"	"connor"	"tollner"	2902	NA	6
"792"	"f"	"emma"	"avvord"	2602	"g"	2
"793"	"m"	"joshua"	"mccartbu"	2914	"g"	4
"794"	"f"	"sara"	"grodsman"	2913	"s"	6
"795"	"m"	"harr'lson"	"bishop"	2615	"d"	NA
"796"	"f"	"dalia"	"snell"	2611	NA	1
"797"	"m"	"cain"	"sherriff"	2902	"g"	6
"798"	"f"	"annabel"	"greenl>erg"	2905	"g"	NA
"799"	"f"	"naomi"	"herbeqt"	2611	"h"	6
"800"	"m"	"darcy"	"bradsbaw"	2615	"s"	6
"801"	"m"	"ba'lley"	"bullock"	2604	"f"	6
"802"	"f"	"gabrielle"	"good"	2913	"g"	NA
"803"	"m"	"malakai"	"lill"	2902	NA	NA
"804"	"f"	"jazz"	"giorginis"	2615	"f"	4
"805"	"m"	"xnstian"	"wiilles"	2902	"g"	4
"806"	"f"	"caitldin"	"blake"	2607	"g"	5
"807"	"f"	"breony"	"hefford"	2602	NA	NA
"808"	"f"	"montana"	"ryam"	2614	"d"	2
"809"	"f"	"broke"	"alderson"	2612	"g"	NA
"810"	"f"	"jac:nta"	"leszie"	2612	"j"	8
"811"	"m"	"jay"	"polmear"	2913	NA	2
"812"	"f"	"el|a"	"mason"	2607	NA	1
"813"	"m"	"caleb"	"spyropoulos"	2902	"l"	3
"814"	"m"	"tyronl"	"zilm"	2615	"j"	5
"815"	"m"	"lacblan"	"dicks"	2602	"d"	1
"816"	"m"	"jai"	"weayer"	2913	NA	5
"817"	"f"	"viktoria"	"deanng"	2602	"d"	2
"818"	"f"	"jenna"	"excell"	2612	"s"	NA
"819"	"m"	"brinly"	"white"	2614	NA	1
"820"	"m"	"braedon"	"richmond"	2906	NA	1
"821"	"f"	"emii|y"	"noack"	2904	NA	2
"822"	"f"	"gabriella"	"zimmermann"	2615	NA	NA
"823"	"f"	"jessica"	"wilkinz"	2614	NA	2
"824"	"f"	"annabele"	"renfret"	2903	"a"	3
"825"	"m"	"michsel"	"dren"	2617	"f"	8
"826"	"m"	"joe|"	"doi"	2905	"f"	5
"827"	"f"	"gian"	"holme"	2617	NA	4
"828"	"f"	"tiahana"	"evertc"	2913	"g"	4
"829"	"m"	"cameron"	"jarick"	2914	NA	6
"830"	"f"	"jesstca"	"salsbury"	2612	"f"	2
"831"	"f"	"jasmyn"	"bojing"	2605	"g"	3
"832"	"f"	"kiera"	"menzied"	2607	NA	5
"833"	"m"	"danil"	"boyle"	2612	"a"	7
"834"	"f"	"nicole"	"english-obst"	2602	NA	NA
"835"	"m"	"clemrnt"	"fullertom"	2611	"f"	5
"836"	"f"	"georgua"	"northway"	2614	"g"	3
"837"	"m"	"connor"	"laekla"	2906	NA	1
"838"	"f"	"olifia"	"bissett"	2607	NA	3
"839"	"f"	"axleigh"	"farnham"	2615	"f"	8
"840"	"f"	"caitlin"	"edson"	2614	NA	NA
"841"	"m"	"toby"	"embrey"	2617	NA	NA
"842"	"m"	"scott"	"burman"	2603	"d"	5
"843"	"f"	"jasmin"	"mcantrew"	2903	"d"	5
"844"	"m"	"casey"	"maifa"	2603	"f"	4
"845"	"m"	"traris"	"beckwith"	2903	NA	4
"846"	"m"	"camrron"	"clarke"	2612	"s"	4
"847"	"m"	"harrv"	"fitzpatncl<"	2615	"s"	5
"848"	"f"	"lily"	"zeitzen-van der burg"	2611	NA	7
"849"	"m"	"ryan"	"pridest"	2602	NA	1
"850"	"m"	"shsun"	"shepherd"	2905	"h"	5
"851"	"m"	"baxwrr"	"caddick"	2602	"f"	1
"852"	"f"	"maddison"	"bellchambers"	2615	NA	NA
"853"	"m"	"lewis"	"teague"	2615	NA	2
"854"	"m"	"kane"	"eisber"	2905	"d"	NA
"855"	"f"	"pakita"	"duic"	2604	"s"	5
"856"	"f"	"kimbgrly"	"braitgwaite"	2611	"f"	1
"857"	"m"	"alexander"	"stuvbs"	2615	NA	5
"858"	"m"	"hayten"	"papageorgiou"	2614	NA	8
"859"	"m"	"jort"	"bervryman"	2617	"s"	4
"860"	"f"	"kirra"	"plewett"	2602	NA	2
"861"	"f"	"keelfey"	"white"	2611	"a"	5
"862"	"m"	"deam"	"truman"	2606	NA	3
"863"	"m"	"leol"	"mccrohan"	2614	"f"	5
"864"	"f"	"emiily"	"wheatlev"	2615	NA	2
"865"	"f"	"caitlin"	"gladman"	2913	"a"	NA
"866"	"f"	"t:mara"	"hmgston"	2902	"f"	5
"867"	"m"	"calev"	"beckwith"	2600	"a"	NA
"868"	"f"	"talia"	"ckaun"	2602	NA	4
"869"	"f"	"hannah"	"camp"	2902	NA	NA
"870"	"m"	"zachsry"	"hingston"	2615	NA	6
"871"	"f"	"matilta"	"reid"	2913	"g"	8
"872"	"m"	"calev"	"grafton"	2902	NA	5
"873"	"m"	"haahrison"	"coulson"	2611	"g"	2
"874"	"m"	"lachlay"	"callahan"	2913	"f"	1
"875"	"m"	"declrn"	"cochrane"	2611	NA	2
"876"	"f"	"kristin"	"ribeiro"	2913	NA	2
"877"	"m"	"tim0thy"	"knappatein"	2615	"d"	2
"878"	"m"	"charlie"	"bradjhaw"	2617	"d"	4
"879"	"f"	"zali"	"maspn"	2615	"f"	NA
"880"	"m"	"michael"	"reiffer5cheidt"	2615	"d"	4
"881"	"f"	"klaire"	"grandioso"	2904	"s"	5
"882"	"m"	"caklin"	"mason"	2607	"g"	NA
"883"	"f"	"indiana"	"rawlinfs"	2611	"s"	4
"884"	"m"	"zarrari"	"mildren"	2904	"s"	5
"885"	"f"	"kiandra"	"stanwsby"	2904	NA	7
"886"	"m"	"darcy"	"stroriach"	2605	NA	5
"887"	"f"	"maliah"	"patticjis"	2615	"s"	6
"888"	"m"	"connor"	"tokareu"	2617	"g"	1
"889"	"m"	"lucas"	"shelclon"	2600	"f"	9
"890"	"m"	"samuel"	"novle"	2902	"j"	NA
"891"	"f"	"gemiiia"	"webb"	2904	NA	2
"892"	"m"	"peter"	"m"	2614	"f"	6
"893"	"m"	"brendan"	"putticj"	2605	"s"	2
"894"	"m"	"fraswr"	"steet"	2617	"s"	3
"895"	"m"	"patrick"	"greem"	2615	"g"	NA
"896"	"m"	"wadr"	"garneyt"	2902	"j"	2
"897"	"f"	"alicia"	"philippa"	2607	NA	NA
"898"	"m"	"samuel"	"mcvilky"	2617	NA	1
"899"	"m"	"jeremy"	"treme|len"	2615	"a"	3
